SOC,Discharge Capacity,OCV
1.0,5.03829835953684,4.198644766006669
0.999,5.03404251133675,4.1975090362412635
0.998,5.028981160892581,4.196244463839622
0.997,5.023894899718835,4.194872760240318
0.996,5.018841396385464,4.193558948090751
0.995,5.013832712879146,4.192096756730536
0.994,5.0088049532755985,4.1910043280005675
0.993,5.003725745403036,4.1896169360308155
0.992,4.998703447349274,4.188147255290729
0.991,4.993678738771187,4.186994006485732
0.99,4.988667510687099,4.185400127148434
0.989,4.983610041192777,4.1846928716734935
0.988,4.978504249357948,4.183030761899104
0.987,4.973526089827731,4.181263315310727
0.986,4.968503537123118,4.180668743644054
0.985,4.9633785111279005,4.178762260630638
0.984,4.95830105946025,4.1775726501992825
0.983,4.9532872448787275,4.176360202407266
0.982,4.94825411702639,4.175149631934548
0.981,4.943199711473789,4.173940934178817
0.98,4.938121546894154,4.172734104455265
0.979,4.933087320175619,4.169565628612851
0.978,4.9280525979533945,4.168279539693932
0.977,4.923017875731174,4.166995431756033
0.976,4.917983153508952,4.16571329835683
0.975,4.912948431286731,4.164433133079438
0.974,4.907913709064508,4.163154931453874
0.973,4.902878986842285,4.161878684845854
0.972,4.897844264620063,4.16060439143143
0.971,4.89280954239784,4.159332048014518
0.97,4.887774820175619,4.158061649271361
0.969,4.882740097953397,4.156793189859685
0.968,4.877705375731175,4.155526660668064
0.967,4.872670653508951,4.154262055810591
0.966,4.8676359312867294,4.15299937455617
0.965,4.862601209064508,4.1517386087811605
0.964,4.857566486842285,4.150479754274508
0.963,4.852531764620064,4.149222804956104
0.962,4.847497042397841,4.147967753389241
0.961,4.842462320175619,4.146714599242434
0.96,4.837427597953396,4.145463338094792
0.959,4.8323928757311725,4.14421396495222
0.958,4.8273581535089525,4.142966474495248
0.957,4.822323431286729,4.141720856344883
0.956,4.817288709064508,4.140477109406127
0.955,4.812253986842285,4.1392352303122815
0.954,4.807219264620062,4.137995211654084
0.953,4.802184542397841,4.136757049999751
0.952,4.797149820175617,4.135520738725858
0.951,4.792115097953397,4.134286272926781
0.95,4.787080375731174,4.133053652107173
0.949,4.782045653508952,4.131822871700804
0.948,4.77701093128673,4.130593927119055
0.947,4.7719762090645075,4.129366812335276
0.946,4.766941486842285,4.1281415185853065
0.945,4.761906764620062,4.126918046863912
0.944,4.756785236842287,4.125675349129852
0.943,4.751663709064508,4.124434516252926
0.942,4.746628986842285,4.123216542216649
0.941,4.741594264620063,4.122000369755527
0.94,4.73655954239784,4.120785994393449
0.939,4.731524820175619,4.119573416031752
0.938,4.726490097953397,4.1183626305889405
0.937,4.721455375731174,4.117153634007992
0.936,4.716420653508951,4.115946420685563
0.935,4.7113859312867294,4.114740982536443
0.934,4.706351209064508,4.11353732081594
0.933,4.701316486842285,4.112335430630477
0.932,4.696281764620064,4.111135307025531
0.931,4.691247042397841,4.109936946950431
0.93,4.686212320175618,4.1087403436365655
0.929,4.681177597953396,4.107545496482234
0.928,4.676142875731174,4.106352403734592
0.927,4.6711081535089525,4.105161061713789
0.926,4.66607343128673,4.103971466808093
0.925,4.661038709064508,4.102783611904113
0.924,4.656003986842285,4.101597492993269
0.923,4.650969264620062,4.100413110568414
0.922,4.645934542397841,4.099230458608951
